puzzle_log
Timestamp,Category,Phrase,Emojis,Solved,Letter Hints,Puzzle Score,Total Score
2025-05-31 14:30:26,Reasons to Break Up,Lost interest,😴 📱 💔,no,3,0.0,0
2025-05-31 14:45:29,Things You've Secretly Judged People For,Big Life Changes,🤰 💍 ✈️ 🏡,yes,3,90.0,90
2025-05-31 14:47:50,Pet Shaming Reasons,Ate my homework,🐶 📚 😩,yes,2,90.0,180
2025-05-31 14:48:30,Forgotten Social Media Platforms,Vine was life,🍇 😂 🎬 💀,no,3,0.0,180
2025-05-31 14:50:38,Old Tech Struggles,Floppy disk,💾 🐌 😫,yes,2,90.0,270
2025-05-31 15:21:33,Late Night Snack Cravings,Sweet tooth,🍬🦷🤤😋,yes,1,90.0,110.0
2025-05-31 15:22:16,Wedding Guest Complaints,Bad dog,🐶 😠 🥂 🐾,yes,2,90.0,190.0
2025-05-31 15:23:29,Food Coma Symptoms,Food baby,🤰 🍔 😴,yes,3,80.0,255.0
2025-05-31 15:24:00,Embarrassing Medical Questions,Morning breath,☕ 🌬️ 😬,no,2,0.0,245.0
2025-05-31 15:29:21,Craigslist Missed Connections,Second helpings,🍽️😋🤤🙌,no,2,0.0,235.0
2025-05-31 15:29:55,Forbidden Love Stories,Forbidden fruit,🍎 🚫 💔,yes,0,90.0,325.0
2025-05-31 15:34:29,Boomer Complaints,Kids these days,👴 🧒 🤯 ⏳ 📺,yes,2,80.0,395.0
2025-05-31 15:35:08,Toxic Relationship Red Flags,Love bombing,💖💣💥💔,yes,3,90.0,470.0
2025-05-31 15:36:24,Drunk Text Regrets,Oops I texted,🤦‍♀️📱😬,no,3,0.0,455.0
2025-05-31 15:37:28,Autocorrect Fails,Take a break,☕ 😴 🚶‍♀️,no,3,0.0,440.0
2025-05-31 15:37:47,Festival Drug Stories,Lost weekend,😵‍💫⛺️😴❓,yes,0,100.0,590.0
2025-05-31 15:38:22,Things That Are Overpriced,Bottled water,💧💰🤣🚿,yes,3,90.0,665.0
